[EFFECT]
.\textures\Effect\Effect.txt

[ENEMY]
.\textures\Enemy\Enemy.txt

# không để dưới 2 cái này
# HUD : 12, 13 bên file HUD.txt
[HUD]
.\textures\HUD\HUD.txt

[ITEM]
.\textures\Item\Item.txt

[MARIO]
.\textures\Mario\Mario.txt

[OBJECT]
.\textures\Object\Object.txt

[WEAPON]
.\textures\Weapon\Weapon.txt

[MAP]
10000	.\textures\World\World1\Scene1.3\Scene1.3HiddenTile.png	255	255	255	.\textures\World\World1\Scene1.3\Scene1.3HiddenMap.txt
[SETTINGS]
# left	top	right	bottom	mode	speed
cam	0	0	1008	416	1	0.5
time	300
scene	2

[OBJECTS]
# 0.Category	1.ObjectType	2.x	3.y	4.ani_set_id	.................
# Category: 0 = Player , 1 = Object, 2 = Enemy, 3 = Item, 4 = Weapon, 5.Effect
# ObjectType: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Question Brick
#======================================================================================================
#=============================================== MARIO ================================================
#======================================================================================================
# bắt đầu
0	0	96	400	0	2336	352

#======================================================================================================
#=============================================== OBJECTS ==============================================
#======================================================================================================
#----------------------------------------------- GROUND -----------------------------------------
1	7	0	416	400	1008	16

#----------------------------------------------- LIST ITEM BRICK -----------------------------------
#0.Category	1.obj_type	2.x	3.y	4.ani_set_id	5.number of brick	6. list of type of brick
1	24	640	176	1	1	1
#----------------------------------------------- COIN -----------------------------------------
3	12	160	352	12
3	12	176	336	12
3	12	192	352	12
3	12	208	336	12
3	12	224	352	12
3	12	240	336	12
3	12	256	352	12

3	12	320	336	12
3	12	336	352	12
3	12	352	336	12
3	12	368	352	12
3	12	384	336	12
3	12	400	352	12
3	12	416	336	12

3	12	464	352	12
3	12	480	336	12
3	12	496	352	12
3	12	512	336	12
3	12	528	352	12
3	12	544	336	12
3	12	560	352	12

3	12	608	336	12
3	12	624	352	12
3	12	640	336	12
3	12	656	352	12
3	12	672	336	12
3	12	688	352	12
3	12	704	336	12

3	12	784	352	12
3	12	800	336	12
3	12	816	352	12
3	12	832	336	12
3	12	848	352	12
3	12	864	336	12
3	12	880	352	12

3	12	592	160	12
3	12	592	176	12
3	12	592	192	12

3	12	608	144	12
3	12	608	160	12

3	12	608	192	12
3	12	608	208	12

3	12	624	128	12
3	12	624	144	12

3	12	624	208	12
3	12	624	224	12

3	12	640	128	12

3	12	640	224	12

3	12	656	208	12
3	12	656	224	12

3	12	656	128	12
3	12	656	144	12

3	12	672	192	12
3	12	672	208	12

3	12	672	144	12
3	12	672	160	12

3	12	688	160	12
3	12	688	176	12
3	12	688	192	12
#======= WARPPIPE =========
#objtype	x	y	aniset_id	width	height	HiddenWorld	Color
1	200	864	368	5	32	64	0	12
