[CELLWIDTH,CELLHIEGHT]
96	96
[OBJECTS]
# #0.category	1.objtype	2.x	3.y	4.bboxwidth	5.bboxheight
#Mario
0	0	130	16	12	14
#---- Ground-----
1	7	0	0	128	192
1	7	256	144	256	16
1	7	272	128	240	16
1	7	288	112	224	16
1	7	304	96	208	16
1	7	320	80	192	16
1	7	336	64	176	16
1	7	384	0	128	64
1	7	160	0	192	16
1	7	128	160	384	32
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
1	50	352	0	32	2
# ===== COIN ======
3	12	224	24	16	16
3	12	240	24	16	16
3	12	208	40	16	16
3	12	256	40	16	16
3	12	256	60	16	16
3	12	224	72	16	16
3	12	240	72	16	16
3	12	256	88	16	16
3	12	256	104	16	16
3	12	208	104	16	16
3	12	224	120	16	16
3	12	240	120	16	16
#======= WARPPIPE =========
#objtype	x	y	aniset_id	width	height	HiddenWorld	Color
1	200	128	0	32	32
1	200	352	0	32	32
