# =========================================================================
# ==================== TEXTTURE TỪ 20 - 29 ================================
# ==================== TẤT CẢ TỪ 300 - 499 ================================
# =========================================================================
[TEXTURES]
20	.\textures\Enemy\enemy.png	68	145	190
[SPRITES]
#==================================== GOOMBA =======================================
300	9	10	25	26	20
301	34	10	50	26	20
#die
302	58	17	74	26	20
#die 2
303	80	11	96	27	20
# WINGS UP
304	339	38	359	62	20
305	363	38	383	62	20
# WINGS DOWN
306	389	43	409	62	20
307	413	43	433	62	20

308	389	38	409	62	20
309	413	38	433	62	20
#==================================== RED GOOMBA =======================================
# WINGS UP
395	104	5	124	29	20
396	128	5	148	29	20
# WINGS DOWN
397	154	5	174	29	20
398	178	5	198	29	20
# NORMAL
399	205	12	221	28	20
400	226	12	242	28	20
#die
401	246	19	262	28	20
#die 2
402	265	12	281	28	20
#==================================== RED KOOPAS =======================================
#walk left
310	8	35	24	61	20
311	33	35	49	62	20
#walk right
312	57	35	73	62	20
313	82	35	98	61	20
#shell
314	107	43	123	59	20
# shell right
315	129	43	145	59	20
# shell middle
316	151	43	167	59	20
# shell left 
317	173	43	189	59	20
# Shell 2
318	222	42	238	58	20
# shell 2 right
319	244	42	260	58	20
# shell 2 middle
320	266	42	282	58	20
# shell 2 left 
321	288	42	304	58	20
# shell revive 
322	193	43	211	58	20
# shell 2 revive 
323	311	42	329	58	20
#==================================== GREEN KOOPAS =======================================
#walk left
330	9	68	25	94	20
331	34	68	50	95	20
#walk right
332	57	68	73	95	20
333	82	68	98	94	20
#shell
334	106	76	124	92	20
# shell right
335	129	75	145	91	20
# shell middle
336	151	75	167	91	20
# shell left 
337	173	75	189	91	20
# Shell 2
338	222	73	240	89	20
# shell 2 right
339	245	74	261	90	20
# shell 2 middle
340	267	74	283	90	20
# shell 2 left 
341	289	74	305	90	20
# shell revive 
342	193	75	211	91	20
# shell 2 revive 
343	309	74	327	90	20
#==================================== GREEN FLY KOOPAS=======================================
# jump left
350	10	105	26	132	20
351	35	105	51	131	20
352	58	105	74	131	20
#walk right
353	84	105	100	132	20
354	107	105	123	131	20
355	132	105	148	132	20
#==================================== RED FLY KOOPAS=======================================
# jump left
360	158	105	174	132	20
361	183	105	199	131	20
362	206	105	222	132	20
#====================================  RED FIRE PLANT =======================================
# Up Right
370	93	143	109	175	20
# Up Mouth Right
371	113	143	129	175	20
# Down Right
372	133	143	149	175	20
#  Down Mouth Right
373	153	143	169	175	20
# Up Left
374	73	143	89	175	20
# Up Mouth Left
375	53	143	69	175	20
# Down Left
376	33	143	49	175	20
#  Down Mouth Left
377	13	143	29	175	20
#====================================  GREEN PLANT =======================================
# Mouth Open
380	184	144	200	167	20
# Mouth Close
381	209	144	225	168	20
#====================================   GREEN FIRE PLANT =======================================
# Up Left
390	290	144	306	168	20
# Up Mouth Left
391	270	144	286	168	20
# Down Left
392	250	144	266	168	20
#  Down Mouth Left
393	230	144	246	168	20

# ======= BOOMERANG ENEMY =========
#  walk right
410	397	10	413	34	20
